cat	label	totalWords	totalSentences	avgSentLen	sentLenStdDev	shortSentRatio	longSentRatio	emdash	emdashPer1k	absnoun	nomDensity	epigram	epigramPer1k	isocolon	isocolonPer1k	antithesis	antithesisPer1k	anadiplosis	anadipPer1k	contractionPer1k	firstPersonPer1k	questionRate	transitionPer1k	hedgePer1k	parenPer1k	exclamationRate	semicolonPer1k	colonPer1k
A-human-pre	PG-GreatWork-2023	11947	745	16.0	8.3	5.8	7.0	23	1.9	240	2.01	53	4.4	72	6.0	20	1.7	21	1.8	39.5	3.7	3.2	0.5	2.3	0.6	0.3	3.2	3.0
A-human-pre	PG-HackersPainters-2003	5627	333	16.9	9.0	5.7	11.1	0	0.0	74	1.32	17	3.0	33	5.9	15	2.7	6	1.1	17.8	16.0	2.4	0.0	2.0	0.7	0.0	0.5	1.6
A-human-pre	PG-BeatingAverages-2001	4500	275	16.4	10.0	8.0	12.0	0	0.0	61	1.36	13	2.9	27	6.0	4	0.9	7	1.6	24.7	11.8	5.8	0.2	1.3	1.6	0.4	0.9	3.3
A-human-pre	PG-WhyNerds-2003	5723	388	14.8	8.0	7.7	5.9	0	0.0	101	1.76	26	4.5	61	10.7	12	2.1	11	1.9	23.8	17.6	5.2	0.2	1.4	2.3	0.3	2.3	1.9
A-human-pre	PG-DoThingsDontScale-2013	4424	230	19.2	10.4	6.5	15.7	14	3.2	45	1.02	14	3.2	17	3.8	7	1.6	6	1.4	32.1	5.0	3.9	0.0	2.0	2.3	0.0	0.5	1.8
A-human-pre	PG-StartupIdeas-2012	7299	407	17.9	9.7	5.2	12.3	9	1.2	69	0.95	22	3.0	46	6.3	14	1.9	4	0.5	33.0	6.3	7.9	0.1	2.9	2.2	0.2	2.9	2.7
A-human-pre	PG-SchlepBlindness-2012	856	56	15.3	9.1	7.1	5.4	1	1.2	17	1.99	3	3.5	4	4.7	2	2.3	2	2.3	30.4	15.2	10.7	0.0	4.7	1.2	0.0	0.0	1.2
A-human-pre	Spolsky-NeverRewrite-2000	1577	99	15.9	10.5	16.2	11.1	0	0.0	16	1.01	13	8.2	4	2.5	2	1.3	6	3.8	0.0	8.9	6.1	0.0	0.6	0.6	5.1	31.1	3.8
A-human-pre	Spolsky-LeakyAbstractions-2002	2322	98	23.7	17.9	12.2	31.6	0	0.0	42	1.81	8	3.4	3	1.3	1	0.4	1	0.4	0.0	10.8	3.1	0.9	2.2	3.9	2.0	32.7	2.6
A-human-pre	Spolsky-JavaSchools-2005	2578	125	20.6	15.8	21.6	23.2	0	0.0	51	1.98	15	5.8	6	2.3	3	1.2	3	1.2	0.0	18.2	8.0	0.0	1.6	5.4	6.4	36.5	2.3
A-human-pre	Atwood-NoCode-2007	1124	71	15.8	12.4	25.4	21.1	1	0.9	21	1.87	10	8.9	7	6.2	0	0.0	4	3.6	0.9	21.4	4.2	0.0	0.0	2.7	1.4	3.6	5.3
A-human-pre	Atwood-CodeSmells-2006	1404	91	15.4	9.1	12.1	9.9	1	0.7	21	1.50	8	5.7	5	3.6	1	0.7	5	3.6	0.7	8.5	12.1	0.0	2.1	2.1	3.3	5.0	2.1
A-human-pre	Atwood-MagpieDev-2008	1472	89	16.5	10.8	21.3	19.1	1	0.7	21	1.43	13	8.8	6	4.1	3	2.0	3	2.0	0.7	27.9	4.5	0.0	4.1	3.4	1.1	2.0	7.5
A-human-pre	patio11-DontCallYourself-2011	5795	282	20.5	15.0	10.3	25.2	21	3.6	130	2.24	22	3.8	19	3.3	8	1.4	1	0.2	0.0	13.3	5.0	0.0	2.2	7.9	0.4	0.9	6.6
A-human-pre	patio11-SalaryNeg-2012	7121	324	22.0	17.2	15.1	26.2	8	1.1	190	2.67	32	4.5	18	2.5	5	0.7	10	1.4	0.0	21.8	8.0	0.3	2.2	8.8	1.2	0.4	10.3
